상호명,지점명,상권업종중분류명,상권업종소분류명,시도명,시군구명,행정동명,도로명주소,경도,위도,n_상호명,점포수
버거킹,창원상남에프에스점,패스트푸드,패스트푸드,경상남도,창원시 성산구,상남동,경상남도 창원시 성산구 마디미로3번길 18,128.687105694177,35.2228369989505,버거킹,1
버거킹옥포점,옥포점,패스트푸드,패스트푸드,경상남도,거제시,옥포1동,경상남도 거제시 옥포로7길 2,128.69302849813,34.889596000840996,버거킹,1
버거킹마산내서삼계SK점,마산내서삼계SK점,패스트푸드,패스트푸드,경상남도,창원시 마산회원구,내서읍,경상남도 창원시 마산회원구 내서읍 경남대로 941,128.504142656489,35.2340313961109,버거킹,1
버거킹,옥포점,패스트푸드,패스트푸드,경상남도,거제시,옥포1동,경상남도 거제시 옥포로 161,128.693094061691,34.8895866124516,버거킹,1
버거킹,진주경상대점,패스트푸드,패스트푸드,경상남도,진주시,가호동,경상남도 진주시 진주대로 540,128.10726587822901,35.154616345974,버거킹,1
버거킹,양산석산SK점,패스트푸드,패스트푸드,경상남도,양산시,동면,경상남도 양산시 동면 양산대로 414,129.027817808739,35.3096063076837,버거킹,1
버거킹,양산웅상DT점,패스트푸드,패스트푸드,경상남도,양산시,서창동,경상남도 양산시 웅상대로 1204,129.164140109415,35.4055456364115,버거킹,1
버거킹,김해내외점,패스트푸드,패스트푸드,경상남도,김해시,내외동,경상남도 김해시 함박로 102,128.86455492790898,35.232119999712296,버거킹,1
버거킹,진주평거점,패스트푸드,패스트푸드,경상남도,진주시,평거동,경상남도 진주시 진양호로 221,128.060203855795,35.1738676424142,버거킹,1
버거킹,진해충무DT점,패스트푸드,패스트푸드,경상남도,창원시 진해구,여좌동,경상남도 창원시 진해구 충장로 103,128.66346691837902,35.152694181237194,버거킹,1
버거킹,마산회원FS점,패스트푸드,패스트푸드,경상남도,창원시 마산회원구,회원1동,경상남도 창원시 마산회원구 315대로 522,128.57428726675698,35.220909775718,버거킹,1
버거킹,구미이마트점,패스트푸드,패스트푸드,경상북도,구미시,광평동,경상북도 구미시 구미대로 256,128.364905872656,36.1094826253698,버거킹,1
버거킹,경산사동점,패스트푸드,패스트푸드,경상북도,경산시,동부동,경상북도 경산시 백자로 55,128.753928050992,35.8113461377591,버거킹,1
버거킹포항공대점,포항공대점,패스트푸드,패스트푸드,경상북도,포항시 남구,효곡동,경상북도 포항시 남구 청암로 77,129.321313500131,36.0106103437304,버거킹,1
버거킹,포항법원앞SK점,패스트푸드,패스트푸드,경상북도,포항시 북구,장량동,경상북도 포항시 북구 신덕로 257,129.387940943426,36.0874355181706,버거킹,1
